,Actual,Predicted
5700,9400.0,8057.574427466562
3522,11200.0,13363.211555547652
4022,10300.0,8958.362555162963
6429,13700.0,11447.017957075099
8768,11500.0,8030.704220154044
103,20400.0,8132.011025200274
8911,16000.0,13952.416454282495
7095,12100.0,9388.639931989095
9287,16900.0,13403.294579617379
3123,5900.0,9741.857166438384
7193,10400.0,9391.12386203111
4169,15900.0,10502.194440345469
711,8100.0,6681.229196273264
5822,11600.0,10757.439184072655
6927,10400.0,8330.694205167318
1149,8400.0,10594.223159867946
2072,8000.0,6180.890620424083
3438,29500.0,27609.897880493914
2377,12300.0,9743.80664483591
9169,9700.0,10594.835619887346
856,27800.0,26835.847748548003
712,10100.0,11481.677615121516
1780,13400.0,15380.704932500226
8100,8400.0,8219.512122124313
4128,4100.0,7421.497584153197
2299,2500.0,7678.661693600243
7676,11500.0,9505.662198049185
8478,6000.0,6363.11190506853
3776,13300.0,11883.673619181931
1631,25100.0,25601.373545189494
5328,8300.0,6988.095504146169
4323,17700.0,13503.835508844317
7282,12800.0,9482.820647663353
3026,11300.0,11789.658229788081
8396,8900.0,10461.320883418022
7224,11300.0,10925.80447169806
7959,8000.0,8229.809297677733
2287,3300.0,4979.0235040290645
8376,7300.0,10483.671912923859
5584,10600.0,8227.065734523452
5407,7000.0,8702.851988283433
960,7400.0,5536.899748124913
4864,6900.0,7902.232803328882
212,2500.0,4637.611492756026
2316,21500.0,12915.145722133762
8448,8900.0,6118.7412600857615
4951,10000.0,10749.200540486016
8052,19000.0,13530.38372944304
3002,22800.0,26329.147833767733
3942,24500.0,25353.00225868182
1383,3000.0,9999.16170556203
8198,12700.0,13169.905991152793
9297,15100.0,10529.567754567524
9114,4900.0,9128.641629665875
2057,9400.0,11218.012951599187
5296,6500.0,8299.867277744568
7024,13400.0,9683.764784142806
7695,10400.0,6766.596163935376
2004,6800.0,9670.48135704033
6648,29900.0,27667.128856983756
7432,26800.0,24729.50246112719
1745,6500.0,8959.853211108742
8897,8800.0,9943.2068891897
4067,7700.0,12105.66917374642
2885,13500.0,10337.044663173123
4913,2500.0,5817.223538700349
5006,22100.0,24914.028771625544
8246,2500.0,4075.351840993067
5473,12400.0,13768.444080626594
8186,9600.0,10740.209080178396
2436,6900.0,6114.717308216093
3574,5900.0,6283.034101883339
6858,5100.0,6806.912184908366
3023,10700.0,13481.699751882006
700,16700.0,8824.138339318906
774,5500.0,6521.265413269076
1145,30900.0,24584.89174285496
4423,5200.0,10541.788877595576
8131,8300.0,11296.316646039462
239,14100.0,13340.991097698576
1558,13800.0,8467.870531463248
4339,15800.0,11281.375739288058
3946,34800.0,25709.756644535024
5456,5900.0,5904.594920424153
5313,13700.0,9576.060027725878
8770,11000.0,10462.302872977923
4656,11200.0,10345.017756992002
4575,11600.0,10298.49744428948
1372,4900.0,6168.061873067774
408,11700.0,9366.090853379821
5044,13100.0,11241.884078987574
6756,2500.0,6536.809726748139
